1,"{'num_inference_steps': 46, 'guidance_scale': 19.453991413247294, 'negative_prompt': 483, 'positive_prompt': 10033, 'guidance_rescale': 0.23665719296677712, 'num_images_per_prompt': 4, 'seed': 243}","{'num_inference_steps': 40, 'guidance_scale': 8.57407283463049, 'negative_prompt': 412, 'positive_prompt': 4707, 'guidance_rescale': 0.1657580288590924, 'num_images_per_prompt': 4, 'seed': 350}",,,
1,"(0.7683333333333334, 20162.5234375)","(0.7218749999999999, 17642.697265625)",,,
2,"{'num_inference_steps': 52, 'guidance_scale': 7.273698774880604, 'negative_prompt': 282, 'positive_prompt': 7473, 'guidance_rescale': 0.29374292783203604, 'num_images_per_prompt': 4, 'seed': 174}","{'num_inference_steps': 52, 'guidance_scale': 14.50406765697543, 'negative_prompt': 322, 'positive_prompt': 2300, 'guidance_rescale': 0.29374292783203604, 'num_images_per_prompt': 4, 'seed': 211}",,,
2,"(0.743125, 22690.087890625)","(0.6957142857142857, 22667.380859375)",,,
3,"{'num_inference_steps': 28, 'guidance_scale': 2.419436100300032, 'negative_prompt': 83, 'positive_prompt': 6949, 'guidance_rescale': 0.7966040996746984, 'num_images_per_prompt': 4, 'seed': 94}","{'num_inference_steps': 28, 'guidance_scale': 4.630604690860851, 'negative_prompt': 83, 'positive_prompt': 6949, 'guidance_rescale': 0.7966040996746984, 'num_images_per_prompt': 4, 'seed': 186}",,,
3,"(0.683125, 12655.025390625)","(0.6955555555555558, 12694.6435546875)",,,
4,"{'num_inference_steps': 11, 'guidance_scale': 2.4184785062069825, 'negative_prompt': 197, 'positive_prompt': 8070, 'guidance_rescale': 0.3517336803858787, 'num_images_per_prompt': 4, 'seed': 345}","{'num_inference_steps': 59, 'guidance_scale': 2.4184785062069825, 'negative_prompt': 266, 'positive_prompt': 2920, 'guidance_rescale': 0.3517336803858787, 'num_images_per_prompt': 4, 'seed': 345}","{'num_inference_steps': 59, 'guidance_scale': 2.4184785062069825, 'negative_prompt': 197, 'positive_prompt': 2920, 'guidance_rescale': 0.3517336803858787, 'num_images_per_prompt': 4, 'seed': 345}",,
4,"(0.538888888888889, 5544.224609375)","(0.6413333333333334, 25676.421875)","(0.6273333333333333, 25668.69921875)",,
5,"{'num_inference_steps': 48, 'guidance_scale': 1.982683292950267, 'negative_prompt': 452, 'positive_prompt': 6205, 'guidance_rescale': 0.9905564482997995, 'num_images_per_prompt': 4, 'seed': 283}","{'num_inference_steps': 69, 'guidance_scale': 1.982683292950267, 'negative_prompt': 452, 'positive_prompt': 6205, 'guidance_rescale': 0.5481197978579578, 'num_images_per_prompt': 4, 'seed': 309}","{'num_inference_steps': 69, 'guidance_scale': 1.982683292950267, 'negative_prompt': 452, 'positive_prompt': 6205, 'guidance_rescale': 0.5481197978579578, 'num_images_per_prompt': 4, 'seed': 309}",,
5,"(0.6163157894736843, 21031.1953125)","(0.6983333333333333, 29823.19921875)","(0.6983333333333333, 29823.19921875)",,
6,"{'num_inference_steps': 46, 'guidance_scale': 19.453991413247294, 'negative_prompt': 332, 'positive_prompt': 5318, 'guidance_rescale': 0.9868214802051282, 'num_images_per_prompt': 4, 'seed': 350}","{'num_inference_steps': 26, 'guidance_scale': 15.52487350718968, 'negative_prompt': 332, 'positive_prompt': 4707, 'guidance_rescale': 0.9868214802051282, 'num_images_per_prompt': 4, 'seed': 508}","{'num_inference_steps': 26, 'guidance_scale': 15.52487350718968, 'negative_prompt': 332, 'positive_prompt': 4707, 'guidance_rescale': 0.9868214802051282, 'num_images_per_prompt': 4, 'seed': 508}","{'num_inference_steps': 99, 'guidance_scale': 18.393185047539774, 'negative_prompt': 37, 'positive_prompt': 5318, 'guidance_rescale': 0.9868214802051282, 'num_images_per_prompt': 4, 'seed': 344}",
6,"(0.5292307692307692, 20283.82421875)","(0.524375, 11840.416015625)","(0.524375, 11840.416015625)","(0.64, 42565.37109375)",
7,"{'num_inference_steps': 72, 'guidance_scale': 7.273698774880604, 'negative_prompt': 260, 'positive_prompt': 7473, 'guidance_rescale': 0.256491852725225, 'num_images_per_prompt': 4, 'seed': 92}","{'num_inference_steps': 72, 'guidance_scale': 8.955829206299539, 'negative_prompt': 260, 'positive_prompt': 5, 'guidance_rescale': 0.256491852725225, 'num_images_per_prompt': 4, 'seed': 92}",,,
7,"(0.5941666666666666, 31388.396484375)","(0.72375, 31400.69140625)",,,
8,"{'num_inference_steps': 58, 'guidance_scale': 9.783955186682597, 'negative_prompt': 167, 'positive_prompt': 6580, 'guidance_rescale': 0.22474253393225074, 'num_images_per_prompt': 4, 'seed': 464}",,,,
8,"(0.6980000000000001, 25421.58203125)",,,,
9,"{'num_inference_steps': 11, 'guidance_scale': 17.722073636387993, 'negative_prompt': 197, 'positive_prompt': 8070, 'guidance_rescale': 0.5245968089476643, 'num_images_per_prompt': 4, 'seed': 345}","{'num_inference_steps': 43, 'guidance_scale': 13.582561473307486, 'negative_prompt': 197, 'positive_prompt': 13784, 'guidance_rescale': 0.5245968089476643, 'num_images_per_prompt': 4, 'seed': 345}","{'num_inference_steps': 43, 'guidance_scale': 17.722073636387993, 'negative_prompt': 197, 'positive_prompt': 10890, 'guidance_rescale': 0.5245968089476643, 'num_images_per_prompt': 4, 'seed': 345}","{'num_inference_steps': 43, 'guidance_scale': 17.722073636387993, 'negative_prompt': 197, 'positive_prompt': 10890, 'guidance_rescale': 0.5245968089476643, 'num_images_per_prompt': 4, 'seed': 345}","{'num_inference_steps': 43, 'guidance_scale': 17.722073636387993, 'negative_prompt': 197, 'positive_prompt': 10890, 'guidance_rescale': 0.5245968089476643, 'num_images_per_prompt': 4, 'seed': 345}"
9,"(0.578695652173913, 5555.619140625)","(0.6488235294117648, 19043.19921875)","(0.6076190476190476, 19015.173828125)","(0.6295238095238095, 19037.375)","(0.6181818181818182, 19018.599609375)"
10,"{'num_inference_steps': 48, 'guidance_scale': 2.854374873307741, 'negative_prompt': 452, 'positive_prompt': 3358, 'guidance_rescale': 0.9905564482997995, 'num_images_per_prompt': 4, 'seed': 283}","{'num_inference_steps': 43, 'guidance_scale': 2.854374873307741, 'negative_prompt': 452, 'positive_prompt': 3358, 'guidance_rescale': 0.7660209332940606, 'num_images_per_prompt': 4, 'seed': 309}","{'num_inference_steps': 43, 'guidance_scale': 2.854374873307741, 'negative_prompt': 452, 'positive_prompt': 3358, 'guidance_rescale': 0.7660209332940606, 'num_images_per_prompt': 4, 'seed': 309}","{'num_inference_steps': 43, 'guidance_scale': 2.854374873307741, 'negative_prompt': 452, 'positive_prompt': 3358, 'guidance_rescale': 0.5481197978579578, 'num_images_per_prompt': 4, 'seed': 309}",
10,"(0.7557142857142857, 21099.08984375)","(0.6087499999999999, 19000.822265625)","(0.6087499999999999, 19000.822265625)","(0.6000000000000001, 18992.91015625)",
11,"{'num_inference_steps': 71, 'guidance_scale': 3.4066995197187233, 'negative_prompt': 194, 'positive_prompt': 6179, 'guidance_rescale': 0.2993687894299565, 'num_images_per_prompt': 4, 'seed': 259}","{'num_inference_steps': 85, 'guidance_scale': 3.4066995197187233, 'negative_prompt': 18, 'positive_prompt': 6179, 'guidance_rescale': 0.2993687894299565, 'num_images_per_prompt': 4, 'seed': 259}",,,
11,"(0.6172222222222222, 30821.4140625)","(0.646, 36726.33203125)",,,
12,"{'num_inference_steps': 43, 'guidance_scale': 17.913953755000147, 'negative_prompt': 17, 'positive_prompt': 8525, 'guidance_rescale': 0.6359143688569384, 'num_images_per_prompt': 4, 'seed': 315}","{'num_inference_steps': 47, 'guidance_scale': 17.913953755000147, 'negative_prompt': 30, 'positive_prompt': 8525, 'guidance_rescale': 0.6359143688569384, 'num_images_per_prompt': 4, 'seed': 315}",,,
12,"(0.6373684210526316, 19007.810546875)","(0.6485714285714286, 20693.263671875)",,,
13,"{'num_inference_steps': 86, 'guidance_scale': 7.152363391063421, 'negative_prompt': 251, 'positive_prompt': 12240, 'guidance_rescale': 0.6171641081857421, 'num_images_per_prompt': 4, 'seed': 419}","{'num_inference_steps': 86, 'guidance_scale': 7.152363391063421, 'negative_prompt': 251, 'positive_prompt': 12240, 'guidance_rescale': 0.6171641081857421, 'num_images_per_prompt': 4, 'seed': 419}","{'num_inference_steps': 71, 'guidance_scale': 7.152363391063421, 'negative_prompt': 251, 'positive_prompt': 7136, 'guidance_rescale': 0.6171641081857421, 'num_images_per_prompt': 4, 'seed': 124}","{'num_inference_steps': 71, 'guidance_scale': 7.152363391063421, 'negative_prompt': 251, 'positive_prompt': 7136, 'guidance_rescale': 0.6171641081857421, 'num_images_per_prompt': 4, 'seed': 124}",
13,"(0.7744444444444445, 37176.3125)","(0.7744444444444445, 37176.3125)","(0.6715, 30823.970703125)","(0.6715, 30823.970703125)",
14,"{'num_inference_steps': 77, 'guidance_scale': 4.5655180442518395, 'negative_prompt': 238, 'positive_prompt': 5294, 'guidance_rescale': 0.24828238058675733, 'num_images_per_prompt': 4, 'seed': 110}","{'num_inference_steps': 77, 'guidance_scale': 4.5655180442518395, 'negative_prompt': 238, 'positive_prompt': 5294, 'guidance_rescale': 0.24828238058675733, 'num_images_per_prompt': 4, 'seed': 110}","{'num_inference_steps': 77, 'guidance_scale': 4.5655180442518395, 'negative_prompt': 238, 'positive_prompt': 5294, 'guidance_rescale': 0.24828238058675733, 'num_images_per_prompt': 4, 'seed': 110}",,
14,"(0.7182352941176471, 33363.25390625)","(0.7182352941176471, 33363.25390625)","(0.6705263157894736, 33343.4921875)",,
15,"{'num_inference_steps': 80, 'guidance_scale': 12.076424859778434, 'negative_prompt': 143, 'positive_prompt': 16378, 'guidance_rescale': 0.49963985131018707, 'num_images_per_prompt': 4, 'seed': 260}","{'num_inference_steps': 80, 'guidance_scale': 12.076424859778434, 'negative_prompt': 143, 'positive_prompt': 16378, 'guidance_rescale': 0.49963985131018707, 'num_images_per_prompt': 4, 'seed': 260}","{'num_inference_steps': 80, 'guidance_scale': 12.076424859778434, 'negative_prompt': 143, 'positive_prompt': 16378, 'guidance_rescale': 0.49963985131018707, 'num_images_per_prompt': 4, 'seed': 260}","{'num_inference_steps': 80, 'guidance_scale': 12.076424859778434, 'negative_prompt': 143, 'positive_prompt': 16378, 'guidance_rescale': 0.49963985131018707, 'num_images_per_prompt': 4, 'seed': 260}",
15,"(0.7406666666666667, 34600.02734375)","(0.711875, 34578.77734375)","(0.711875, 34578.77734375)","(0.715, 34591.76953125)",
16,"{'num_inference_steps': 95, 'guidance_scale': 12.657052944398202, 'negative_prompt': 202, 'positive_prompt': 4897, 'guidance_rescale': 0.7978746105638148, 'num_images_per_prompt': 4, 'seed': 319}",,,,
16,"(0.8750000000000001, 41149.61328125)",,,,
17,"{'num_inference_steps': 33, 'guidance_scale': 16.11547801734408, 'negative_prompt': 269, 'positive_prompt': 642, 'guidance_rescale': 0.6406897980662206, 'num_images_per_prompt': 4, 'seed': 169}",,,,
17,"(0.7021428571428572, 14851.431640625)",,,,
